ID|COD_SKU_SAP|UND_ORDEN|FECHA
7|38|17|1/02/2020
7|38|23|1/03/2020
7|38|29|1/04/2020
7|38|43|1/05/2020
7|38|60|1/06/2020
7|38|48|1/07/2020
7|38|61|1/08/2020
7|38|33|1/09/2020
7|38|29|1/10/2020
7|38|29|1/11/2020
7|38|40|1/12/2020
7|38|43|1/01/2021
7|38|47|1/02/2021
7|38|75|1/03/2021
7|38|74|1/04/2021
7|38|83|1/05/2021
7|38|50|1/06/2021
7|38|61|1/07/2021
7|38|54|1/08/2021
7|38|41|1/09/2021
7|38|36|1/10/2021
7|38|31|1/11/2021
7|38|27|1/12/2021
7|38|49|1/01/2022
7|38|46|1/02/2022
7|38|54|1/03/2022
7|38|34|1/04/2022
7|38|46|1/05/2022
7|38|44|1/06/2022
7|38|56|1/07/2022
7|38|50|1/08/2022
7|38|44|1/09/2022
7|38|76|1/10/2022
7|38|90|1/11/2022
7|38|83|1/12/2022
7|38|92|1/01/2023
7|38|97|1/02/2023
7|38|66|1/03/2023
7|38|55|1/04/2023
7|38|57|1/05/2023
7|38|65|1/06/2023
7|38|62|1/07/2023
8|42|27|1/01/2018
8|42|32|1/02/2018
8|42|24|1/03/2018
8|42|27|1/04/2018
8|42|24|1/05/2018
8|42|15|1/06/2018
8|42|21|1/07/2018
8|42|30|1/08/2018
8|42|42|1/09/2018
8|42|52|1/10/2018
8|42|22|1/11/2018
8|42|31|1/12/2018
8|42|54|1/01/2019
8|42|38|1/02/2019
8|42|52|1/03/2019
8|42|65|1/04/2019
8|42|84|1/05/2019
8|42|61|1/06/2019
8|42|63|1/07/2019
8|42|99|1/08/2019
8|42|66|1/09/2019
8|42|61|1/10/2019
8|42|40|1/11/2019
8|42|30|1/12/2019
8|42|39|1/01/2020
8|42|43|1/02/2020
8|42|29|1/03/2020
8|42|41|1/04/2020
8|42|45|1/05/2020
8|42|55|1/06/2020
8|42|32|1/07/2020
8|42|35|1/08/2020
8|42|41|1/09/2020
8|42|36|1/10/2020
8|42|32|1/11/2020
8|42|23|1/12/2020
8|42|33|1/01/2021
8|42|41|1/02/2021
8|42|64|1/03/2021
8|42|95|1/04/2021
8|42|84|1/05/2021
8|42|76|1/06/2021
8|42|50|1/07/2021
8|42|62|1/08/2021
8|42|52|1/09/2021
8|42|47|1/10/2021
8|42|68|1/11/2021
8|42|66|1/12/2021
8|42|77|1/01/2022
8|42|81|1/02/2022
8|42|129|1/03/2022
8|42|129|1/04/2022
8|42|142|1/05/2022
8|42|222|1/06/2022
8|42|122|1/07/2022
8|42|169|1/08/2022
8|42|157|1/09/2022
8|42|147|1/10/2022
8|42|184|1/11/2022
8|42|107|1/12/2022
8|42|136|1/01/2023
8|42|112|1/02/2023
8|42|122|1/03/2023
8|42|156|1/04/2023
8|42|146|1/05/2023
8|42|118|1/06/2023
8|42|128|1/07/2023
19|224|19|1/01/2018
19|224|17|1/02/2018
19|224|15|1/03/2018
19|224|20|1/04/2018
19|224|20|1/05/2018
19|224|13|1/06/2018
19|224|14|1/07/2018
19|224|13|1/08/2018
19|224|14|1/09/2018
19|224|13|1/10/2018
19|224|9|1/11/2018
19|224|23|1/12/2018
19|224|11|1/01/2019
